Scenario,Algorithm,Grid,Uncovered%,Win,Initial Uncovered%,DifferenceUncovered%
"(16, 16, 40)",Abel 4x4 100k 100,15,60.15625,0,14.453125,45.703125
"(16, 16, 40)",Abel 8x8 10k 1k,15,57.421875,0,14.453125,42.96875
"(16, 16, 40)",Kane + MCTS,15,48.4375,0,14.453125,33.984375
"(16, 16, 40)",Abel 16x16 2000 10k,16,11.71875,0,10.546875,1.171875
"(16, 16, 40)",Abel 16x16 750 100k,16,19.53125,0,10.546875,8.984375
"(16, 16, 40)",Abel 4x4 100k 100,16,84.375,1,10.546875,73.828125
"(16, 16, 40)",Abel 8x8 10k 1k,16,84.375,1,10.546875,73.828125
"(16, 16, 40)",Kane + MCTS,16,84.375,1,10.546875,73.828125
"(16, 16, 40)",Abel 16x16 2000 10k,17,7.03125,0,4.6875,2.34375
"(16, 16, 40)",Abel 16x16 750 100k,17,5.078125,0,4.6875,0.390625
"(16, 16, 40)",Abel 4x4 100k 100,17,34.765625,0,4.6875,30.078125
"(16, 16, 40)",Abel 8x8 10k 1k,17,24.21875,0,4.6875,19.53125
"(16, 16, 40)",Kane + MCTS,17,17.1875,0,4.6875,12.5
"(16, 16, 40)",Abel 16x16 2000 10k,18,5.46875,0,4.6875,0.78125
"(16, 16, 40)",Abel 16x16 750 100k,18,12.109375,0,4.6875,7.421875
"(16, 16, 40)",Abel 4x4 100k 100,18,39.0625,0,4.6875,34.375
"(16, 16, 40)",Abel 8x8 10k 1k,18,26.953125,0,4.6875,22.265625
"(16, 16, 40)",Kane + MCTS,18,25.78125,0,4.6875,21.09375
"(16, 16, 40)",Abel 16x16 2000 10k,19,14.0625,0,10.9375,3.125
"(16, 16, 40)",Abel 16x16 750 100k,19,13.671875,0,10.9375,2.734375
"(16, 16, 40)",Abel 4x4 100k 100,19,84.765625,0,10.9375,73.828125
"(16, 16, 40)",Abel 8x8 10k 1k,19,84.765625,0,10.9375,73.828125
"(16, 16, 40)",Kane + MCTS,19,84.375,1,10.9375,73.4375
"(16, 16, 40)",Abel 16x16 2000 10k,20,8.59375,0,8.203125,0.390625
"(16, 16, 40)",Abel 16x16 750 100k,20,9.375,0,8.203125,1.171875
"(16, 16, 40)",Abel 4x4 100k 100,20,14.84375,0,8.203125,6.640625
"(16, 16, 40)",Abel 8x8 10k 1k,20,13.28125,0,8.203125,5.078125
"(16, 16, 40)",Kane + MCTS,20,11.71875,0,8.203125,3.515625
"(16, 30, 150)",Abel 16x16 2000 10k,1,2.083333333333333,0,1.25,0.833333333333333
"(16, 30, 150)",Abel 16x16 750 100k,1,1.4583333333333333,0,1.25,0.2083333333333332
"(16, 30, 150)",Abel 4x4 100k 100,1,3.333333333333333,0,1.25,2.083333333333333
"(16, 30, 150)",Abel 8x8 10k 1k,1,2.708333333333333,0,1.25,1.458333333333333
"(16, 30, 150)",Kane + MCTS,1,1.4583333333333333,0,1.25,0.2083333333333332
"(16, 30, 150)",Abel 16x16 2000 10k,2,1.6666666666666667,0,1.25,0.4166666666666667
"(16, 30, 150)",Abel 16x16 750 100k,2,2.2916666666666665,0,1.25,1.0416666666666663
"(16, 30, 150)",Abel 4x4 100k 100,2,3.333333333333333,0,1.25,2.083333333333333
"(16, 30, 150)",Abel 8x8 10k 1k,2,2.5,0,1.25,1.25
"(16, 30, 150)",Kane + MCTS,2,2.2916666666666665,0,1.25,1.0416666666666663
"(16, 30, 150)",Abel 16x16 2000 10k,3,3.75,0,3.125,0.625
"(16, 30, 150)",Abel 16x16 750 100k,3,4.583333333333333,0,3.125,1.458333333333333
"(16, 30, 150)",Abel 4x4 100k 100,3,7.708333333333334,0,3.125,4.583333333333334
"(16, 30, 150)",Abel 8x8 10k 1k,3,7.5,0,3.125,4.375
"(16, 30, 150)",Kane + MCTS,3,4.791666666666667,0,3.125,1.666666666666667
"(16, 30, 150)",Abel 16x16 2000 10k,4,2.2916666666666665,0,1.6666666666666667,0.6249999999999998
"(16, 30, 150)",Abel 16x16 750 100k,4,2.708333333333333,0,1.6666666666666667,1.0416666666666663
"(16, 30, 150)",Abel 4x4 100k 100,4,3.958333333333333,0,1.6666666666666667,2.291666666666666
"(16, 30, 150)",Abel 8x8 10k 1k,4,3.75,0,1.6666666666666667,2.083333333333333
"(16, 30, 150)",Kane + MCTS,4,2.2916666666666665,0,1.6666666666666667,0.6249999999999998
"(16, 30, 150)",Abel 16x16 2000 10k,5,0.8333333333333334,0,0.2083333333333333,0.6250000000000001
